"ID" "height" "age" "sex" "GIparasites" "sickGIparasites" "malaria"
1 30.3096577760621 1 "Male" 0 "not infected" "Oui"
2 25.4167290750464 1 "Female" 21 "infected" "Oui"
3 28.8680035845974 1 "Male" 39 "infected" "Oui"
4 38.0717023848066 2 "Male" 9 "infected" "Oui"
5 20.6636073574602 2 "Female" 29 "infected" "Non"
6 26.2708341432488 2 "Male" 7 "infected" "Non"
7 32.795533731855 3 "Male" 37 "infected" "Non"
8 20.7835930271592 3 "Female" 11 "infected" "Non"
9 23.8291425068714 3 "Female" 12 "infected" "Non"
10 25.0156563265906 4 "Female" 3 "infected" "Oui"
11 27.4756689918401 4 "Female" 0 "not infected" "Non"
12 43.4909034475687 4 "Male" 6 "infected" "Non"
13 17.1745569127387 5 "Female" 15 "infected" "Oui"
14 34.500800274458 5 "Female" 2 "infected" "Non"
15 12.3263306867121 5 "Female" 66 "infected" "Non"
16 15.9091471714949 6 "Female" 63 "infected" "Non"
17 28.8037594947073 6 "Male" 58 "infected" "Oui"
18 43.8150323186486 6 "Male" 0 "not infected" "Oui"
19 40.0739293791583 7 "Male" 0 "not infected" "Oui"
20 25.9277229187619 7 "Female" 5 "infected" "Non"
21 40.1795379855498 7 "Male" 0 "not infected" "Non"
22 25.8904683542903 8 "Female" 4 "infected" "Non"
23 26.98736908905 8 "Female" 0 "not infected" "Non"
24 21.9317365919467 8 "Female" 13 "infected" "Oui"
25 14.6769322801105 9 "Female" 44 "infected" "Oui"
26 33.9579905427414 9 "Male" 18 "infected" "Oui"
27 33.7060303847836 9 "Female" 0 "not infected" "Oui"
28 35.0658908217224 10 "Female" 22 "infected" "Oui"
29 33.0637244539707 10 "Male" 45 "infected" "Oui"
30 44.0352441555314 10 "Male" 0 "not infected" "Non"
31 24.7586638444124 11 "Female" 40 "infected" "Oui"
32 41.835260283926 11 "Male" 1 "infected" "Non"
33 49.6520602230415 11 "Male" 4 "infected" "Non"
34 38.5996513871074 12 "Male" 0 "not infected" "Oui"
35 29.2530499072114 12 "Male" 53 "infected" "Oui"
36 36.0114663307078 12 "Male" 12 "infected" "Non"
37 30.9210415430657 13 "Male" 47 "infected" "Non"
38 40.9151738414074 13 "Male" 1 "infected" "Oui"
39 31.8752429400457 13 "Female" 8 "infected" "Non"
40 53.3251252601574 14 "Male" 3 "infected" "Oui"
41 31.2189543412007 14 "Male" 60 "infected" "Oui"
42 26.8269406855259 14 "Female" 6 "infected" "Oui"
43 47.0796701055981 15 "Male" 16 "infected" "Oui"
44 25.197261482249 15 "Male" 36 "infected" "Non"
45 30.1843311111569 15 "Female" 0 "not infected" "Oui"
46 40.6669564438043 16 "Female" 5 "infected" "Non"
47 41.4393937860127 16 "Female" 0 "not infected" "Oui"
48 47.359335674963 16 "Male" 0 "not infected" "Oui"
49 48.3025232907567 17 "Male" 1 "infected" "Oui"
50 42.8473663812219 17 "Female" 2 "infected" "Oui"
51 43.0509210065107 17 "Male" 0 "not infected" "Oui"
52 39.9106254717331 18 "Female" 1 "infected" "Non"
53 42.5014447475451 18 "Female" 17 "infected" "Oui"
54 42.7160049496708 18 "Male" 20 "infected" "Oui"
55 37.0652933775997 19 "Female" 11 "infected" "Oui"
56 49.0791340971215 19 "Male" 1 "infected" "Oui"
57 26.9854375458132 19 "Female" 55 "infected" "Oui"
58 42.5082144194197 20 "Male" 9 "infected" "Non"
59 23.5239163400785 20 "Female" 51 "infected" "Oui"
60 55.5778133085894 20 "Male" 1 "infected" "Non"
61 29.9567687179341 21 "Female" 26 "infected" "Non"
62 51.6502523479334 21 "Male" 1 "infected" "Non"
63 54.3580625827352 21 "Male" 2 "infected" "Non"
64 36.097677548878 22 "Female" 2 "infected" "Oui"
65 41.7136058335449 22 "Male" 28 "infected" "Non"
66 32.6739800823433 22 "Female" 8 "infected" "Non"
67 39.0673046275928 23 "Female" 42 "infected" "Non"
68 55.9963631380332 23 "Male" 3 "infected" "Oui"
69 35.2093634740483 23 "Female" 25 "infected" "Non"
70 60.539185470037 24 "Male" 0 "not infected" "Non"
71 20.5583038385654 24 "Female" 72 "infected" "Non"
